173.28 93.62 60.1 86.72 38.97 27.51 75.3 117.4 74.6 61.8 4508
172.09 92.83 60.38 87.39 38.62 27.82 76.7 120.1 77.1 66.2 4469
171.46 92.78 59.74 85.59 38.83 27.46 75.8 121.8 75.2 65.4 4398
170.08 92.25 58.04 85.92 38.33 27.29 76.1 115.1 73.8 61.3 4068
170.61 92.36 59.67 87.46 38.38 27.14 72.9 119.4 77.5 67.1 4339
171.69 92.85 59.44 87.45 38.19 27.1 72.7 116.2 74.6 59.3 4393
171.46 92.93 58.7 87.06 38.58 27.36 76.5 117.9 75 68.3 4389
171.6 93.28 59.75 88.03 38.68 27.22 75.2 115.1 74.1 63.2 4306
171.6 92.26 60.5 87.63 38.79 26.63 74.7 117.4 78.3 68.3 4395
171.16 92.62 58.72 87.11 38.19 27.18 73.2 113.2 72.5 51 4462
170.04 92.17 56.95 88.08 38.24 27.65 77.8 116.9 76.9 65.6 4181
170.27 91.94 56 84.52 37.16 26.81 76.4 113.6 74.3 65.6 4232
170.61 92.5 57.34 85.61 38.52 27.36 76.4 116.7 74.3 61.2 4305
171.39 92.44 58.92 85.37 38.83 26.47 74.9 113.1 74 61.2 4276
171.83 92.79 56.85 85.35 38.58 27.03 78.7 112.4 72.9 61.4 4067
171.36 92.53 58.39 87.09 38.23 27.04 73.9 118.4 73 62.3 4421
171.24 92.61 57.69 83.98 39.04 27.07 75.7 116.3 74.2 51.8 4284
170.49 92.03 57.56 87.18 38.54 27.57 72.5 114.8 71 55.1 4289
169.43 91.67 57.22 83.87 38.41 26.6 76.7 117.5 72.7 51.6 4097
168.57 91.4 55.96 83.02 38.74 26.97 77 117.9 71.6 52.4 4063
170.43 92.38 57.87 84.87 38.78 27.37 76 116.8 72.3 58 4334
169.88 91.89 56.87 86.34 38.37 27.19 74.2 115.4 73.1 60.4 4301
167.94 90.91 55.97 86.77 38.17 27.16 76.2 110.9 68.5 56.8 4141
168.82 91.3 56.07 85.87 37.61 26.67 77.2 113.8 71 57.5 3905
168.02 91.26 55.28 85.63 39.66 28.07 74.5 117.2 74 63.8 3943
167.87 90.96 55.79 84.92 38.2 26.53 74.3 112.3 69.3 50.2 4195
168.15 91.5 54.56 84.81 38.44 27.38 77.5 117.4 75.3 63.6 4039
168.99 91.52 55.11 86.23 38.3 27.14 77.7 113.3 72.1 52.8 4238
